ticker,headline,source,date,polarity_score,sentiment,vader_score,vader_sentiment,finbert_sentiment,finbert_confidence
AAPL,"If I could buy only one ASX ETF for the next 10 years, this could be it",Motley Fool Australia,2026-05-23T22:00:56Z,0.0,Neutral,0.0,Neutral,neutral,0.9386
AAPL,Paul Tudor Jones makes $8 billion bet on small-cap chaos,TheStreet,2026-05-23T18:33:00Z,0.0,Neutral,-0.5719,Negative,neutral,0.9108
AAPL,Apple Inc. (AAPL)’s Durable Growth Narrative Keeps Getting Stronger,Yahoo Entertainment,2026-05-23T14:51:58Z,0.0,Neutral,0.6369,Positive,positive,0.933
AAPL,MarketBeat Week in Review – 05/18 - 05/22,MarketBeat,2026-05-23T11:00:00Z,0.0,Neutral,0.0,Neutral,neutral,0.8741
AAPL,ACASIS、Apple M1/M2チップ搭載の旧Mac miniを収納しUSB-AやNVMe SSDを搭載できるThunderbolt(40Gbps)対応ドック「Acasis Mac mini M2 Dock & Stand」を発売。,Applech2.com,2026-05-23T04:14:49Z,0.0,Neutral,0.0,Neutral,neutral,0.8797
AAPL,Microsoft vs. Apple Stock: The Numbers Reveal a Clear Winner Heading Into H2 2026,Barchart.com,2026-05-22T23:00:02Z,0.09999999999999999,Positive,0.7506,Positive,positive,0.5797
AAPL,‘Buffett Indicator’ warns of a market top — 8 crucial signs that stocks are running on fumes,MarketWatch,2026-05-22T20:32:00Z,0.25,Positive,0.0772,Positive,negative,0.698
AAPL,Apple shares hit new all-time intraday and closing highs,Macdailynews.com,2026-05-22T20:17:09Z,0.13636363636363635,Positive,0.296,Positive,positive,0.8693
AAPL,Dominic Chu: The Trump Bull Market’s AI Rally Is Powering the S&P 500 Toward an 8th Straight Winning Week,24/7 Wall St.,2026-05-22T18:45:23Z,0.35,Positive,0.6486,Positive,positive,0.9301
AAPL,"Apple Stock at 52-Week High: Buy, Sell or Hold?",24/7 Wall St.,2026-05-22T14:30:46Z,0.16,Positive,0.0,Neutral,neutral,0.8943
MSFT,Microsoft (MSFT): One of the Best Long-Term Stocks to Buy Now for High Returns,Yahoo Entertainment,2026-05-24T13:30:20Z,0.58,Positive,0.6369,Positive,positive,0.781
MSFT,"If I could buy only one ASX ETF for the next 10 years, this could be it",Motley Fool Australia,2026-05-23T22:00:56Z,0.0,Neutral,0.0,Neutral,neutral,0.9386
MSFT,llm-join added to PyPI,Pypi.org,2026-05-23T20:36:33Z,0.0,Neutral,0.0,Neutral,neutral,0.9316
MSFT,Paul Tudor Jones makes $8 billion bet on small-cap chaos,TheStreet,2026-05-23T18:33:00Z,0.0,Neutral,-0.5719,Negative,neutral,0.9108
MSFT,"Billionaire Bill Ackman Pours $2,092,970,000 Into One Asset, Dumps Uber and Two Mag 7 Stocks",The Daily Hodl,2026-05-23T14:00:38Z,0.0,Neutral,-0.0516,Negative,neutral,0.7178
MSFT,We’re Not in a Bubble. Wall Street Just Hasn’t Caught Up With the New ‘Physics’ of the Stock Market.,Barchart.com,2026-05-23T13:30:02Z,0.13636363636363635,Positive,0.0,Neutral,negative,0.5203
MSFT,"These cybersecurity stocks are poised for rapid growth through 2028, and some of them are cheap right now",MarketWatch,2026-05-23T13:00:00Z,0.34285714285714286,Positive,0.5574,Positive,neutral,0.5812
MSFT,Microsoft MSFT Stock Dips Slightly as AI Cloud Momentum Continues in May 2026,Ibtimes.com.au,2026-05-23T12:30:09Z,-0.16666666666666666,Negative,0.0,Neutral,negative,0.9704
MSFT,"Nvidia shifts strategy, and S&P 500 index fund investors are along for the ride",Crypto Briefing,2026-05-23T00:08:10Z,0.0,Neutral,0.0,Neutral,neutral,0.8172
MSFT,Microsoft vs. Apple Stock: The Numbers Reveal a Clear Winner Heading Into H2 2026,Barchart.com,2026-05-22T23:00:02Z,0.09999999999999999,Positive,0.7506,Positive,positive,0.5797
NVDA,Did SpaceX’s $28.5 Trillion Bombshell Reveal Elon Musk’s Genius — or Peak Galaxy Brain?,24/7 Wall St.,2026-05-24T14:59:22Z,0.0,Neutral,0.0,Neutral,neutral,0.9035
NVDA,Here’s What Jim Cramer Had Said About NVIDIA (NVDA) Ahead Of Earnings,Yahoo Entertainment,2026-05-23T23:19:15Z,0.0,Neutral,0.0,Neutral,neutral,0.9419
NVDA,"If I could buy only one ASX ETF for the next 10 years, this could be it",Motley Fool Australia,2026-05-23T22:00:56Z,0.0,Neutral,0.0,Neutral,neutral,0.9386
NVDA,Nvidia CEO Jensen Huang highlights China as long-term opportunity despite US tech tensions,Crypto Briefing,2026-05-23T21:57:45Z,0.0,Neutral,0.6197,Positive,positive,0.9033
NVDA,Paul Tudor Jones makes $8 billion bet on small-cap chaos,TheStreet,2026-05-23T18:33:00Z,0.0,Neutral,-0.5719,Negative,neutral,0.9108
NVDA,"Should You Buy, Or Sell Fidelity’s MSCI Industrials Index ETF (FIDU) Today?",24/7 Wall St.,2026-05-23T15:05:18Z,0.0,Neutral,0.0,Neutral,neutral,0.9368
NVDA,Why BofA Says to “Ignore the Noise” on NVIDIA Corporation (NVDA),Yahoo Entertainment,2026-05-23T14:51:50Z,0.0,Neutral,0.0,Neutral,neutral,0.8165
NVDA,Is NVIDIA Corporation (NVDA) One of the Top Must-Buy Semiconductor Stocks to Invest in Now?,Yahoo Entertainment,2026-05-23T11:53:33Z,0.5,Positive,0.2023,Positive,neutral,0.9041
